"source";"translation";"type";"module";"status";"customer"
"Import file is not defined";"Importbestand is niet gedefinieerd";"S";"";"T";"N"
"Export data";"Exporteren van gegevens";"B";"";"T";"N"
"Data was successfully exported to file %s";"De gegevens zijn met succes geëxporteerd naar bestand %s";"S";"";"T";"N"
"File name";"Bestandsnaam";"B";"";"T";"N"
"Modules";"Module";"S";"";"T";"N"
"Size";"Grootte";"S";"";"T";"N"
"Could not create account. (%s)";"Kan account niet aanmaken. (%s)";"S";"";"T";"N"
"Directory %s is not writable by web server user. Please remove it or set write permissions.";"Map %s is niet schrijfbaar voor de webserver gebruiker. Verwijder deze of geef schrijf permissies.";"S";"";"T";"N"
"Failed to delete %s filter(s)";"Fout bij verwijderen %s filter(s)";"S";"";"T";"N"
"%s filter(s) successfully deleted";"%s filter(s) zijn verwijderd";"S";"";"T";"N"
"Failed to load default mail account. Please check your mail account settings.";"Fout bij het laden standaard mailaccount. Controleer uw email account instellingen.";"S";"";"T";"N"
"View name must be unique";"Te tonen naam moet uniek zijn";"S";"";"T";"N"
"Maximum length of %s in %s is %s";"Maximale lengte van %s in %s is %s";"S";"";"T";"N"
"Relation constraint";"Relatie beperking";"S";"";"T";"N"
"must be unique";"moet uniek zijn";"S";"";"T";"N"
"Error changing theme";"Fout bij het wijzigen van thema";"S";"";"T";"N"
"Theme changed";"Thema gewijzigd";"S";"";"T";"N"
"Failed to delete %s wallpaper(s)";"Fout bij verwijderen %s achtergrond";"S";"";"T";"N"
"%s wallpaper(s) successfully deleted";"%s achtergrond is verwijderd";"S";"";"T";"N"
"Failed to save wallpaper with error %s";"Fout bij opslaan achtergrond met foutcode %s";"S";"";"T";"N"
"Wallpaper saved.";"Achtergrond opgeslagen.";"S";"";"T";"N"
"Side bar saved";"Side bar opgeslagen";"S";"";"T";"N"
"Windows saved";"Venster opgeslagen";"S";"";"T";"N"
"Quick Launch saved";"Snelstart opgeslagen";"S";"";"T";"N"
"File does not exist";"Bestand bestaat niet";"S";"";"T";"N"
"File was successfully uploaded";"Bestand is geüpload";"S";"";"T";"N"
"Unsupported gadget";"Niet ondersteunde gadget";"S";"";"T";"N"
"Gadget";"Gadget";"B";"";"T";"N"
